teste_id,parceiro,fase_id,grupo,dias,compradores,comissao,cashback,vendas_totais,margem,compradores_dia,vendas_dia,margem_dia,taxa_comissao,taxa_cashback,taxa_margem,ticket_medio,margem_por_comprador,projecao_margem_100_trafego,dias_projecao
dataset_02_parceirob,Parceiro B,1,Grupo 1,61,7990,450321,163751,4093818,286570,130.98360655737704,67111.77049180328,4697.868852459016,0.11000024915616669,0.03999957985430715,0.07000066930185954,512.3677096370463,35.866082603254064,422808.1967213114,30
dataset_02_parceirob,Parceiro B,1,Grupo 2,61,5452,314935,171778,2863019,143157,89.37704918032787,46934.737704918036,2346.8360655737706,0.1100010164096012,0.05999890325561933,0.05000211315398186,525.1318782098313,26.257703595011005,211215.24590163934,30
dataset_02_parceirob,Parceiro B,1,Grupo 3,61,5029,289290,236697,2629963,52593,82.44262295081967,43114.147540983606,862.1803278688525,0.10999774521542699,0.09000012547705044,0.01999761973837655,522.9594352754027,10.457943925233645,77596.22950819672,30
