teste_id,parceiro,fase_id,grupo_controle,grupo_variante,delta_compradores_dia,delta_vendas_dia,delta_cashback_dia,delta_margem_dia,custo_cashback_por_comprador_incremental,uplift_gmv_observado,uplift_gmv_break_even
dataset_02_parceirob,Parceiro B,1,Grupo 1,Grupo 2,-41.60655737704917,-20177.032786885247,131.59016393442607,-2351.0327868852455,,-0.3006481968665925,0.3999542196605168
dataset_02_parceirob,Parceiro B,1,Grupo 1,Grupo 3,-48.540983606557376,-23997.622950819677,1195.8360655737702,-3835.6885245901635,,-0.3575769611643703,2.5004500644406367
