teste_id,parceiro,descricao,resultado,status,variante_recomendada,decisao,quantidade_fases,alertas
dataset_01_parceiroa,Parceiro A,"Teste com 3 grupo(s), 4 fase(s), de 2011-01-01 a 2011-04-02.","Maior margem diária na fase principal: Grupo 1, R$ 5.420,19; GMV diário de R$ 68.042,98.",reexecutar,nenhuma,Não escalar automaticamente. O tratamento mudou durante o período; analise as fases e reexecute o teste com taxas fixas.,4,A projeção pressupõe tráfego equilibrado entre os grupos. | Confirme o número de usuários expostos em cada grupo.
dataset_02_parceirob,Parceiro B,"Teste com 3 grupo(s), 1 fase(s), de 2011-05-01 a 2011-06-30.","Maior margem diária na fase principal: Grupo 1, R$ 4.697,87; GMV diário de R$ 67.111,77.",escalar,Grupo 1,Escalar Grupo 1: apresentou a maior margem e as variantes ficaram abaixo do controle no intervalo de confiança.,1,A projeção pressupõe tráfego equilibrado entre os grupos. | Confirme o número de usuários expostos em cada grupo.
dataset_03_parceiroc,Parceiro C,"Teste com 2 grupo(s), 1 fase(s), de 2011-07-01 a 2011-08-14.","Maior margem diária na fase principal: Grupo 1, R$ 772,64; GMV diário de R$ 38.632,44.",escalar,Grupo 1,Escalar Grupo 1: apresentou a maior margem e as variantes ficaram abaixo do controle no intervalo de confiança.,1,A projeção pressupõe tráfego equilibrado entre os grupos.
